owner,cablesystem,region,SHAPE__Length,shortname,objectid,SHAPE__Area,status
,,Great Lakes,9320.10246368572,,218,403863.49076101,
,,Great Lakes,6195.22673575977,,219,265824.26277107,
,,Great Lakes,2497.75846004169,,220,103761.31600444,
,,Great Lakes,4893.91974572533,,221,208818.4367028,
,,Great Lakes,522.863038428832,,222,16896.30474478,
,,Great Lakes,1986.50703993334,,223,81100.556018595,
,,Great Lakes,1744.17580679099,,224,70414.5245404,
,,Great Lakes,4922.72055465758,,225,210056.64665616,
,,Great Lakes,14544.0283471187,,226,632918.956394515,
,,Great Lakes,617.787732458827,,227,21050.65891851,
,,Great Lakes,491.207294919714,,228,15506.33063653,
,,Great Lakes,845.698154446781,,229,31038.95534606,
,,Great Lakes,3170.56094773978,,230,133209.298944875,
,,Great Lakes,4920.47241373818,,231,210246.56048744,
,,Great Lakes,4516.81871437653,,232,192419.771914215,
,,Great Lakes,4992.83199453134,,233,213339.94865149,
,,Great Lakes,14778.0291367355,,234,643098.403411605,
,,Great Lakes,7810.65669516302,,235,337626.205426325,
,,Great Lakes,5864.89404194082,,236,251675.58342645,
,,Great Lakes,4743.90311552953,,237,202378.36063013,
,,Great Lakes,1167.89700322279,,238,45530.402453895,
,,Great Lakes,5614.94891740711,,239,240459.05016876,
,,Great Lakes,424.639120153578,,240,12580.12774269,
,,Great Lakes,2806.67061193274,,241,117176.977058115,
,,Great Lakes,8911.68403006043,,242,389322.60491555,
,,Great Lakes,1527.42164384673,,243,62047.072203405,
,,Great Lakes,972.886621116426,,244,37231.183991525,
,,Great Lakes,15318.2638681078,,245,645893.539113125,
,,Great Lakes,725.996610703577,,246,25106.261902435,
,,Great Lakes,12668.2467965354,,247,530192.179832005,
,,Great Lakes,302.972963904157,,248,7173.178415555,
,,Great Lakes,9603.36466783184,,249,388439.51566641,
,,Great Lakes,894.203674537768,,250,31448.42771499,
,,Great Lakes,1545.36606665045,,251,58307.577249235,
,,Great Lakes,5338.11980444562,,252,222992.135867285,
,,Great Lakes,1222.914169501,,253,45013.006846,
,,Great Lakes,2113.26237297034,,254,100882.495272125,
,,Great Lakes,1257.49030439066,,255,68295.02020763,
,,Great Lakes,1418.41919776387,,256,53054.706016795,
,,Great Lakes,19968.8762114779,,257,894106.22865387,
,,Great Lakes,18134.7921232981,,258,776664.934199545,
,,Great Lakes,35102.7369866362,,259,1505577.31821323,
,,Great Lakes,31625.7743291946,,260,1354777.41777169,
,,Great Lakes,17438.7469618562,,261,755483.16843971,
,,Great Lakes,127415.179098004,,262,5564729.7986059,
,,Great Lakes,17650.961512956,,263,764617.510372345,
,,Great Lakes,11784.1064815222,,264,507645.8962228,
,,Great Lakes,108671.993105965,,265,4742055.79277247,
,,Great Lakes,30342.3232445513,,266,1318877.08713904,
American Transmission Company,Mackinac Power Cable,Great Lakes,20692.8567400518,Mackinac,267,897639.90244398,In Service
,,Great Lakes,55884.0065675338,,268,2432449.0985647,
,,Great Lakes,48206.7480196398,,269,2095113.56209618,
,,Great Lakes,2558.97508643219,,270,105694.980331905,
,,Great Lakes,73645.0689436331,,271,3212704.0145713,
,,Great Lakes,3441.77461811733,,272,144005.011310095,
,,Great Lakes,3673.65312254688,,273,154148.15555962,
,,Great Lakes,120484.224806579,,274,5267798.08397491,
,,Great Lakes,7418.73344242922,,275,315183.697950895,
,,Great Lakes,6294.83110617818,,276,266810.60348908,
,,Great Lakes,47634.4128289632,,277,2062730.92538462,
,,Great Lakes,7840.30246672095,,278,341899.052679355,
,,Great Lakes,62672.4778533261,,279,2651188.39294966,
,,Great Lakes,111308.567164381,,280,4828704.09136336,
,,Great Lakes,282454.044857081,,281,12076631.7797464,
,,Great Lakes,15957.3546851847,,282,685026.274431755,
,,Great Lakes,7098.62505551514,,283,301585.49376268,
,,Great Lakes,5929.91919455393,,284,236029.210949775,
,,Great Lakes,1040.0393567603,,285,37127.50093018,
,,Great Lakes,9864.65978514205,,286,398037.02872301,
,,Great Lakes,1519.29066192289,,287,61271.9302211,
,,Great Lakes,3762.70487242208,,288,161098.176702015,
,,Great Lakes,1514.53068243791,,289,61233.364069825,
,,Great Lakes,501.863775432716,,290,16104.74978852,
,,Great Lakes,564.108767084198,,291,18855.363940255,
,,Great Lakes,5143.84415039888,,292,222596.65069242,
,,Great Lakes,1662.10232317806,,293,67987.685028195,
,,Great Lakes,1327.11892603603,,294,53747.74231373,
